thisyeardata,lastyeardata,twoyearagodata
19,27,58
+8,+31,+47
"15,697","12,822","8,252"
10.32%,7.39%,4.74%
41.06%,36.62%,34.48%
"12,403","10,656","7,072"
"£62,500","£60,000","£57,500"
+4.17%,+4.35%,+4.55%
"£37,500","£36,250","£36,000"
"£93,750","£87,500","£85,000"
"£54,000","£50,000","£50,000"
+8.00%,-,-
6,6,6
0,0,+5
"25,531","29,681","28,103"
16.79%,17.11%,16.13%
30.58%,30.79%,30.26%
"21,952","26,187","25,669"
"£50,000","£45,000","£45,000"
+11.11%,-,-
"£31,250","£29,750","£27,500"
"£80,000","£72,500","£71,250"
"£45,000","£42,500","£40,000"
+5.88%,+6.25%,-
8,9,11
+1,+2,+2
"23,872","26,713","25,373"
15.70%,15.40%,14.57%
28.60%,27.71%,27.32%
"19,164","21,568","21,388"
"£57,500","£55,000","£55,000"
+4.55%,-,+6.80%
"£32,500","£31,750","£32,000"
"£92,500","£87,500","£86,250"
"£50,000","£47,500","£47,500"
+5.26%,-,+5.56%
13,10,9
-3,-1,+3
"18,857","24,572","25,771"
12.40%,14.17%,14.79%
31.33%,34.95%,37.66%
"15,580","21,498","23,011"
"£45,500","£45,000","£42,500"
+1.11%,+5.88%,-
"£28,250","£27,500","£27,000"
"£75,000","£70,000","£68,750"
"£42,500","£40,000","£40,000"
+6.25%,-,+5.26%
5,5,5
0,0,+1
"26,338","31,545","29,657"
17.32%,18.19%,17.02%
31.55%,32.72%,31.93%
"22,212","27,738","26,556"
"£50,000","£45,000","£45,000"
+11.11%,-,+4.65%
"£30,000","£28,250","£27,500"
"£78,750","£73,750","£71,250"
"£45,000","£42,500","£40,000"
+5.88%,+6.25%,-
