thisyeardata,lastyeardata,twoyearagodata
19,27,58
+8,+31,+47
"15,697","12,822","8,252"
10.32%,7.39%,4.74%
41.06%,36.62%,34.48%
"12,403","10,656","7,072"
"£62,500","£60,000","£57,500"
+4.17%,+4.35%,+4.55%
"£37,500","£36,250","£36,000"
"£93,750","£87,500","£85,000"
"£54,000","£50,000","£50,000"
+8.00%,-,-
6,6,6
0,0,+5
"25,531","29,681","28,103"
16.79%,17.11%,16.13%
30.58%,30.79%,30.26%
"21,952","26,187","25,669"
"£50,000","£45,000","£45,000"
+11.11%,-,-
"£31,250","£29,750","£27,500"
"£80,000","£72,500","£71,250"
"£45,000","£42,500","£40,000"
+5.88%,+6.25%,-
8,9,11
+1,+2,+2
"23,872","26,713","25,373"
15.70%,15.40%,14.57%
28.60%,27.71%,27.32%
"19,164","21,568","21,388"
"£57,500","£55,000","£55,000"
+4.55%,-,+6.80%
"£32,500","£31,750","£32,000"
"£92,500","£87,500","£86,250"
"£50,000","£47,500","£47,500"
+5.26%,-,+5.56%
13,10,9
-3,-1,+3
"18,857","24,572","25,771"
12.40%,14.17%,14.79%
31.33%,34.95%,37.66%
"15,580","21,498","23,011"
"£45,500","£45,000","£42,500"
+1.11%,+5.88%,-
"£28,250","£27,500","£27,000"
"£75,000","£70,000","£68,750"
"£42,500","£40,000","£40,000"
+6.25%,-,+5.26%
5,5,5
0,0,+1
"26,338","31,545","29,657"
17.32%,18.19%,17.02%
31.55%,32.72%,31.93%
"22,212","27,738","26,556"
"£50,000","£45,000","£45,000"
+11.11%,-,+4.65%
"£30,000","£28,250","£27,500"
"£78,750","£73,750","£71,250"
"£45,000","£42,500","£40,000"
+5.88%,+6.25%,-
4,4,4
0,0,0
"30,366","35,788","35,759"
19.97%,20.64%,20.53%
36.38%,37.13%,38.50%
"25,600","30,399","30,947"
"£48,750","£45,000","£45,000"
+8.33%,-,-
"£29,750","£27,500","£27,500"
"£77,500","£73,750","£71,250"
"£42,500","£42,500","£40,000"
-,+6.25%,-
22,20,18
-2,-2,+7
"13,369","15,864","15,610"
8.79%,9.15%,8.96%
9.59%,9.96%,9.81%
"10,670","13,127","13,887"
"£55,000","£52,500","£50,000"
+4.76%,+5.00%,-
"£35,000","£32,500","£32,500"
"£85,000","£77,500","£76,250"
"£50,000","£47,500","£45,000"
+5.26%,+5.56%,-
17,21,29
+4,+8,+11
"16,172","14,873","12,229"
10.64%,8.58%,7.02%
19.37%,15.43%,13.17%
"13,181","12,315","10,528"
"£60,000","£55,000","£55,000"
+9.09%,-,+4.76%
"£35,000","£32,500","£32,500"
"£95,000","£90,000","£85,000"
"£50,000","£50,000","£45,000"
-,+11.11%,-
7,7,7
0,0,-2
"25,505","29,526","27,840"
16.78%,17.03%,15.98%
39.48%,38.52%,36.51%
"20,631","24,773","23,962"
"£45,000","£44,000","£42,500"
+2.27%,+3.53%,+2.41%
"£25,025","£23,750","£23,750"
"£75,000","£71,250","£68,750"
"£42,500","£40,000","£39,500"
+6.25%,+1.27%,+3.95%
